"","text","year"
"1","	RESOLVED, That we, the members of the Southern Baptist Convention, reassert our truceless and uncompromising hostility to the manufacture, sale, importation and transportation, of alcoholic beverages in any and all their forms.  We regard the policy of issuing government licenses for the purpose of carrying on the liquor traffic as a sin against God and a dishonor to our people.  We furthermore announce it as our conviction that we should by all legitimate means oppose the liquor traffic in municipality, county, State, and nation.	Furthermore, we announce it as the sense of this body that no person should be retained in the fellowship of a Baptist church who engages in the manufacture or sale of alcoholic liquors, either at wholesale or retail, who invests his money in the manufacture or sale of alcoholic liquors, or who rents his property to be used for distilleries, wholesale liquor houses, or saloons.  Nor do we believe that any church should retain in its fellowship any member who drinks intoxicating liquors as a beverage, or visits saloons or drinking places for the purpose of such indulgence.",1896
"2","	RESOLVED, That the thanks of this body are due and hereby tendered the press of this city for the excellent reports of the proceedings with which they have favored us; also to the First Baptist Church for the use of their building; also, to the good people of Chattanooga for their abundant hospitality; also, to the railroads for courtesies extended.",1896
"3","RESOLVED, That we regard as eminently important and desirable the establishment of a representative Baptist mission in Palestine, with headquarters at Jerusalem; and that we gratefully recognize the indications of Providence, pointing in various ways to the founding of such a mission; and that we commend this work to the consideration of our Baptist brotherhood and of our Foreign Mission Board.",1896
"4","	RESOLVED, That we mention with grateful recognition the favors shown the delegates of this Convention.  We will not soon forget the boundless hospitality we have enjoyed.  To the pastor of the Church, the Committee on Entertainment, the railroads and press, the community in general, we express our sincere thanks.",1897
"5","The committee to whom was referred the communication from the Mission Board of the North Pacific Coast Convention beg leave to report:	1.  The communication contains an appeal to the Convention to interfere by mediation and otherwise in a strife that has arisen between brethren of different views of church policy and action, which strife affects the missionary plans and policies of the American Baptist Home Mission Society in a territory in which this Convention has never had any missions.	2.  On inquiry we find that though the North Pacific Coast Convention has contributed some money to the mission work of this Convention, it has not done so in such amount or manner as to entitle it to representation in the body and so it cannot claim our action on the ground of being a part of the Convention, or its work being a part of the Convention's work.	3.  Apart from this consideration, we do not deem it within the province of this Convention to in any manner interfere in the local contentions as to doctrine and policy of other Baptist bodies, whether connected with it originally or not.	We recommend that the Convention respectfully decline the request of the North Pacific Coast Convention, while at the same time we extend to them our loving sympathy in their struggle for what they believe to be right and truth, and pray for them and those with whom they contend, that the Spirit of God may lead them all into peace and harmony with the truth.	Respectfully submitted,					T.P. Bell,					W.W. Landrum,					W. L. Brown, Committee",1897
"6","WHEREAS, The American Baptist Historical Society holds important and peculiar relations to the entire denomination throughout the world, and	WHEREAS, It is seeking to secure and to preserve every kind of material pertaining to the Baptists, from the beginning through every stage and vicissitude of their career; and	WHEREAS, It wishes to be in readiness to gather all such material for all time to come, that the activities and achievements of God's people may be worthily cared for and made known; therefore	RESOLVED, That this matter appeals to Southern Baptists in their constantly increasing regard for all that pertains to educational, spiritual, and missionary advancement.	RESOLVED, That we commend the American Baptist Historical Society to our churches, and to our entire membership, that it may have a place in our thoughts and plans beside our other great agencies, in order that it may be helped, not only to the small amount of money for which it asks, but that there may be sent to it sketches of State history, associational history, personal biography and, indeed, everything which will in any form, illustrate the past and present of our people, in its beginnings and throughout its trials, struggles, and triumphs.",1897
"7","Ordered, That having set ourselves for the furtherance of the Gospel of Christ and realizing our dependence upon him and remembering that his kingdom comes ""not by power, but by His Spirit,"" we will give ourselves individually much to prayer, and that the President of the Convention will intersperse the exercises with prayer and praise as will imbue the Convention with a spirit of devotion and bring upon us the presence and the manifest power of the Holy Spirit, that he may give us wisdom and guidance and make this session of the Convention a session of vast missionary power.",1897
"8","	RESOLVED, That we reaffirm our truceless opposition to the liquor traffic in any and all forms and our sympathy with every righteous measure looking to its annihilation.",1898
"9","RESOLVED, That the action of the Home Board in applying the Levering Fund collected from the Creek Nation, Indian Territory, to the last payment on the First Church building in New Orleans, Louisiana, as reported by the Board, be and is hereby ratified by the Convention.",1898
"10","WHEREAS, The Associated Press is one of the greatest powers in the land for disseminating knowledge; and whereas this Association has representatives at all the great religious gatherings, sending out reports to all the leading papers in the country; and whereas this Convention represents nearly two millions of people; therefore	BE IT RESOLVED, That a committee be appointed to confer with the Associated Press and request that a representative be sent to our next Convention to let the people it serves know what we are doing for the cause of Christ.",1898
"11","ORDERED, That distributing and reading newspapers and other literature on the floor of this Convention during the sessions of the body shall be considered out of order.",1898
"12","RESOLVED, That this Convention respectfully requests the President of the United States and others in authority, that in the adjustment of the political affairs in the island of Cuba, they use every proper endeavor to secure equality of religious right to every inhabitant of that island.",1898
"13","	RESOLVED, That the thanks are due and are hereby tendered by this Convention to the citizens of Louisville for their bountiful hospitality tendered to us, and to the press for the reports of the meeting, to the railroads for reduction of fare, and to the members of Warren Memorial Church for the use of their house of worship.	RESOLVED, That the unfeigned thanks of this Convention be extended to Broadway Baptist Church, to the other Baptist churches associated with it, and to the many citizens of Louisville, for their delightful hospitality, and to the authorities of the Warren Memorial Presbyterian Church for their free and unlimited use of their magnificent house of worship.",1899
"14","WHEREAS, It has been determined by the Baptist Union of Great Britain and Ireland to seek an interview with the Czar of Russia for the purpose of interceding with him on behalf of the persecuted Stundists; and	WHEREAS, It is desired by the Baptist Union of Great Britain and Ireland that there shall be a joint delegation from the United States and Great Britain for the purpose named; therefore	RESOLVED, That we hereby express our sympathy with the action proposed, and appoint Robt. C. Davidson, of Baltimore, Md., to represent the Southern Baptist Convention as a member of the delegation proposed.	RESOLVED, 2d, That, in event of Mr. Davidson not being able to accept the appointment, the President of this Convention be, and is hereby authorized to appoint some other brother for the purpose.",1899
"15","	RESOLVED, That the unfeigned thanks of this Convention be extended to our Baptist brethren and the hotels, bath houses, and citizens of Hot Springs for the very pleasant and convenient arrangements made for the meetings of this Convention and the many courtesies received at their hands; that our thanks are also due to the various railroad and steamship lines for reduced rates granted.",1900
"16","	RESOLVED, That the thanks of this Convention are due, and are hereby cordially tendered, to the Baptists of New Orleans for their kindness in arranging so admirably for the entertainment; to the other citizens of New Orleans for contributing generously towards this entertainment; to the First Presbyterian Church for the use of their house of worship; to the press of the city for full and impartial reports of the proceedings of the Convention; to the various railroad and steamboat lines for reduced rates in attending the Convention, and to the hotels and boarding houses of the city for reduction in their regular rates.",1901
"17","	RESOLVED, That the thanks of this Convention are due and are hereby cordially tendered, to the Baptists of Asheville for their kindness in arranging so admirably for our entertainment; to the other citizens of Asheville for contributing generously towards this entertainment; to the Board of Trade and citizens generally for the use of the Auditorium; to the press of the city for full and impartial reports of the proceedings of the Convention; to the various railroad lines for reduced rates in attending the Convention to the hotels and boarding houses of the city for reduction in their regular rates, and to Mr. George W. Vanderbilt for admission to his grounds.",1902
"18","RESOLVED, That a committee of one from each State and territory be appointed to report upon the advisability of establishing a church building board or department.",1902
"19","	RESOLVED. That the thanks of this Convention are due, and are hereby cordially tendered, to the Baptists of Savannah for their kindness in arranging so admirably for our entertainment; to the other citizens of Savannah for contributing generously toward this entertainment; to the press of the city for full and impartial reports of the proceedings of the Convention; to the various railroad lines for reduced rates in attending the Convention; to the hotels and boarding-houses of the city for reduction in their regular rates, and to steamboat companies for courtesies.",1903
"20","WHEREAS, The religious situation at Hot Springs, Arkansas, is every way unique and important;	AND WHEREAS, Neither the churches there nor the State Convention is able to provide for the peculiar requirements of the case;	AND, WHEREAS, An appeal for help in the matter of erecting a house of worship there suitable to the great necessities, comes up from the First Baptist Church there, and is endorsed by leading men of that State and thoughtful brethren of other States;	THEREFORE, RESOLVED, That this Convention commends this whole matter to the Home Board, at Atlanta, as worthy of their consideration.	And if after due examination of all the facts and merits of the case, the wisdom of extending help is made clear to them, then it is the object of this resolution to give them freedom to exercise such liberality in appropriation as accords with their judgment, and the resources at their command.",1903
"21","WHEREAS, By the express words of the Constitution under which this Convention was organized in 1845, the scope of its work embraces the whole United States, and all persons of our denomination making the necessary contribution; and all constituent bodies of the same who cooperate with us are invited to representation in this body, without reference to locality, or territory, or latitude; and,	WHEREAS, In naming this body the phrase ""Southern Baptist Convention"" was used at the date above named to suit conditions then existing, but which have long since passed away; therefore, be it	RESOLVED, 1. That the name of this body be changed from ""Southern Baptist Convention"" to that of ""The Baptist Convention of the United States,"" so that the same may better harmonize with the true nature and opportunities of this body.	2.  That appropriate steps be taken for carrying this action into effect by appropriate change in the charter under direction of a committee to be appointed by the president; and that such change of name be operative so soon as said charter amendment shall have been procured.",1903
"22","	RESOLVED, That we, the members of the Southern Baptist Convention, representing over a million and a half white Baptists in the South and a constituency of about five million people, cordially endorse the Hepburn-Dolliver bill now pending in Congress, the intention of which is to prevent the importation of intoxicating liquors into what is known as dry territory, and that we earnestly request our Senators and Representatives in Congress to vote for and use their influence in behalf of this bill.	WHEREAS, The traffic in intoxicating liquors is one of the greatest foes to the work of this Convention, both in home and foreign lands; and	WHEREAS, The Constitution of the Convention provides that it shall be the design of the Convention to promote foreign and domestic missions, and other important objects connected with the Redeemer's kingdom,"" (Art. II); and	WHEREAS, The American Anti-Saloon League, an omnipartisan, interdenominational organization, has requested the Southern Baptist Convention to appoint ten messengers to represent the Convention at the next meeting of the League in Columbus, Ohio, in November, 1904; therefore	RESOLVED, That the President of this Convention be authorized to appoint these ten messengers.",1904
"23","	RESOLVED, That the thanks of the Convention are due, and are hereby cordially tendered, to the Baptists of Nashville for their kindness in arranging so admirably for our entertainment; to the other citizens of Nashville for contributing generously toward this entertainment; to the press of the city for full and impartial reports of the proceedings of the Convention; to the various railroad lines for reduced rates in attending the Convention; to the hotels and boarding houses of the city for reduction in their regular rates, and for other courtesies.",1904
