text,id,subject
"WHEREAS, The Bible presents the Lord God as creating both the man and the woman by His own hand and in His own image and likeness, crowning them with essential and inestimable dignity and worth (Genesis 1:26–27; 2:7, 21–22; 1 Peter 3:7); and",2,On the Dignity and Worth of Women
"WHEREAS, The Bible consistently demonstrates that women played a significant role in ministry, evangelism, and disciple-making (Mark 16:1–8; Luke 2:36–38; 8:2–3; 24:10; John 4:39; 11:20–27; 20:18; Acts 1:14; 16:40; 18:24–26; Romans 16:1–2; 2 Timothy 1:5); and",3,On the Dignity and Worth of Women
"WHEREAS, God calls and gifts women for a variety of roles within the biblical framework of complementary gender relationships; and",4,On the Dignity and Worth of Women
"WHEREAS, Women were valued servants of the early church, many martyrs in the post-apostolic era, and heroic missionaries of the historic Baptist movement, such as Lottie Moon and Annie Armstrong; and",5,On the Dignity and Worth of Women
"WHEREAS, Women have served in a variety of ways throughout the history of the Southern Baptist Convention, including elected offices, service on committees and boards, missions education, ministry through entities and agencies, and positions in higher education, as well as within local churches; and",6,On the Dignity and Worth of Women
"WHEREAS, Women continue currently to serve in a wide range of ministry roles within Southern Baptist life; and",7,On the Dignity and Worth of Women
"WHEREAS, May 15, 2018, marked the one hundredth anniversary of women serving as messengers to the Southern Baptist Convention; now, therefore, be it",8,On the Dignity and Worth of Women
"RESOLVED, That the messengers to the Southern Baptist Convention meeting in Dallas, Texas, June 12–13, 2018, honor the immeasurable contribution of women to our cooperative mission of Great Commission work; and be it further",9,On the Dignity and Worth of Women
"RESOLVED, That we thank God for women who have contributed in biblically appropriate ways through discipleship, missions, education, evangelism, service, leadership, and working for advocacy and justice; and be it further",10,On the Dignity and Worth of Women
"RESOLVED, That we affirm the gifts of women in their distinctive God-assigned roles, even as we continue to witness to Scripture’s teaching (Genesis 2:18, 21–24; Ephesians 5:22–33; Colossians 3:18–19; 1 Timothy 2:9–14; Titus 2:3–5; 1 Peter 3:1–7) in a culture increasingly confused in matters of gender and sexuality; and be it further",11,On the Dignity and Worth of Women
"RESOLVED, That we call upon women to serve in diverse capacities to advance the gospel in their homes, local churches, communities, the marketplace, and within our denomination; and be it further",12,On the Dignity and Worth of Women
"RESOLVED, That we call upon older women to invest in younger women for the sake of developing them into godly followers of Christ consistent with Paul’s admonition in Titus 2:3–5; and be it finally",13,On the Dignity and Worth of Women
"RESOLVED, That we call upon all Southern Baptists to encourage, cultivate, and celebrate the diverse gifts, callings, and contributions of women in biblically appropriate ways. ",14,On the Dignity and Worth of Women
