text,year
"	WHEREAS, The federal government has spent vast sums of money for the study of the effects of smoking on health, and	WHEREAS, Legislation has been passed requiring cigarette manufacturers to warn of the health hazards of their product,	Therefore be it RESOLVED, That we express gratitude to our government for its actions attempting to protect the health of American citizens, and	Be it further RESOLVED, That we request the Surgeon General of the United States to undertake a similar effort on the effect of alcoholic beverages on physical and mental health.",1968
"	WHEREAS, This Convention recognizes, first, that widespread distribution of the printed Word of God is a basic need in mission work around the world, and second, that missionary advance calls for even greater distribution of Bibles, New Testaments, Gospels, other individual books of the Bible, and shorter Scripture selections, and	WHEREAS, We recognize that the American Bible Society renders an essential worldwide missionary service through translating and publishing the Scriptures without note or comment and through distributing them without profit and usually below cost, and	WHEREAS, We recognize that the American Bible Society is rendering an additional special service through providing, without charge, to the chaplains, Scriptures for distribution to the men and women of the armed forces and to patients in veterans hospitals, and	WHEREAS, We recognize that the American Bible Society, in cooperation with 34 other national Bible societies, is now engaged in a program of worldwide missionary advance, with the theme, ""God's Word for a New Age,"" seeking to place the printed Word of God in the hands, hearts, and lives of more people, in more lands, in more languages, and	WHEREAS, The American Bible Society has made an unprecedented contribution to the Christian witness in the widespread distribution of a new inexpensive translation of the New Testament in basic English under the title, ""Good News for Modern Man,"" and	WHEREAS, The American Bible Society is engaged in gigantic, mass scripture distribution projects in large metropolitan centers such as Atlanta, Georgia, in cooperation with local churches, and	WHEREAS, The American Bible Society is providing special imprinted scriptural tracts for the Crusade of the Americas,	THEREFORE, BE IT RESOLVED, That we fraternally urge all our churches and our people to make worthy contributions to the work of the American Bible Society, in order to provide the Scriptures needed for the missionary advance to which we are committed, and	BE IT FURTHER RESOLVED, That we encourage state conventions, associations, and churches to emphasize in their own programs the need for a wider reading and sharing of the Holy Scriptures in our own land and throughout the world.",1968
"	The messengers to the 111th annual session of the Southern Baptist Convention acknowledge with gratitude the hospitality extended by the City of Houston and enjoyed through fellowship with Baptists in Houston and the Union Association.	We express appreciation to Mayor Louie Welch, to the city commissioners, to members of the service departments of the city, and to the management and personnel of the Sam Houston Coliseum for the efficient and courteous manner in which our needs have been recognized and met.	We further express appreciation to the local committees for many services and accommodations, and to the press, radio, and television for their effective cooperation.",1968
"WHEREAS, The New Testament doctrine of the church has been under subtle and obvious attack, and	WHEREAS, The local church has been berated, belittled, and even denounced before the eyes of the public across America, sometimes by those who speak under the church's auspices, and	WHEREAS, The role of the local church has been called into question by some religious leaders,	THEREFORE, BE IT RESOLVED, That we reaffirm our belief in the church expressed in the Statement of Faith and Message adopted by the 1963 Southern Baptist Convention,	BE IT FURTHER RESOLVED, That we express our conviction that the local church, although imperfect, is being used today, as in the past, to proclaim the good news of Jesus Christ and His kingdom for the saying and building of the whole man,	BE IT FURTHER RESOLVED, That we affirm our faith in the victory of Christ through His church as He himself said, ""The gates of hell shall not prevail against it.""",1968
"We express to Dr. H. Franklin Paschall our profound appreciation for his splendid, unselfish leadership in the office of president of the Convention.  He has represented our Convention nobly and well.  We have come to be increasingly grateful for his gifts, his uncomplaining response to every responsibility, his faithfulness to Christ, and his loyalty to the Word of God and service to his kingdom through his churches.  Dr. Paschall has represented us well as a greatly gifted spokesman for Christ.  He has spoken responsibly, fairly, firmly, and in love.  We have observed a high level of dedication and commitment to our Lord.	Our appreciation is also expressed to his wife and family for sharing him with our Convention during his tenure in office.  They have each made it easier for him to function so well and so worthily.	We express our appreciation to the First Baptist Church of Nashville, Tennessee, and its staff for their generosity and understanding.  The president has fulfilled his duties while he and his church have been involved in an extensive building project.	We also express our appreciation to the vice-presidents of the Convention who have served with President Paschall efficiently and selflessly:  Landrum P. Leavell and John A. Abernathy.  To Clifton J. Allen, recording secretary, to W. Fred Kendall, registration secretary and to Porter W. Routh, executive secretary-treasurer our deepest thanks.  These elected officers, along with the president, have borne their responsibilities and shouldered their duties, as always, in a helpful, Christ-honoring manner.",1968
"WHEREAS, The greatest need of the world is a spiritual awakening and a turning to God through Jesus Christ, and	WHEREAS, Baptists of this hemisphere are engaged in the greatest evangelistic enterprise in the history of Christianity, the Crusade of the Americas, and	WHEREAS, Our newly elected president, W. A. Criswell, has expressed his desire to lead the Convention into a tremendous evangelistic and missionary effort,	THEREFORE, BE IT RESOLVED, That we commend our denominational leaders, agencies, and workers and our churches, pastors, and people for their commitment to the cause of evangelism in general and the Crusade of the Americas in particular, and	BE IT FURTHER RESOLVED, That we call our people to full dedication and united prayer that the Crusade of the Americas might result in a mighty spiritual revival sweeping this hemisphere and the world, and	BE IT FURTHER RESOLVED, That we pledge our prayerful support to our new president and our other leaders as they seek to lead us in this unprecedented evangelistic undertaking.",1968
"WHEREAS, 52,200 persons were killed and 4,000,000 injured on the nation's highways last year, and	WHEREAS, At the present rate one out of every two Americans will eventually be killed or injured in an auto accident, and	WHEREAS, Some Southern Baptist Convention states each year lose five times as many citizens on their highways as they lose in Vietnam, and	WHEREAS, There is a critical need to more effectively apply Christian principles to highway safety,	THEREFORE, BE IT RESOLVED, By the messengers of the Southern Baptist Convention in session at Houston, Texas, that we personally pledge ourselves to do our part to eradicate discourtesy, anger, impatience and selfishness on the highways, and	BE IT FURTHER RESOLVED, That we seek to practice the Golden Rule in our driving, taking seriously the obligation that we are our brother's keeper, and	BE IT FURTHER RESOLVED, That we keep before local, state and national governing bodies the documented fact that at least half of all highway fatalities are caused by drinking and drunken drivers, and	BE IT FURTHER RESOLVED, That we urge stronger legislation at all levels to protect the innocent on our highways, and	BE IT FURTHER RESOLVED, That we urge churches to give special emphasis to these concerns.",1968
"WHEREAS, Violence, resulting in the tragic death of Senator Robert F. Kennedy, has shocked our nation during this week of our Convention, and	WHEREAS, Such violence is the latest in a series of tragic events which have convulsed our nation with grief in recent times, and	WHEREAS, The unbridled passion of mobs has shamed this country over and over again through lynching, rioting, looting, burning, and shooting, and	WHEREAS, The glorification and exploitation of violence in television, movies, newspapers, and fiction have legitimized violence as a way of life, made heroes out of criminals, and exerted an adverse influence on the character of our nation, particularly our youth, and	WHEREAS, A permissive atmosphere has developed in our society where many people are psychologically conditioned to violence, crime and anarchy, and disrespect for law, and	WHEREAS, We recognize that the basic cause of this climate of hatred, violence, extremism, and contempt for the rights of others is sin in the hearts of men,	Therefore, be it RESOLVED, That this Convention commend the President of the United States for his decisive condemnation of hatred and violence in saying, ""We must not tolerate the sway of violent men among us.  We must not permit men filled with hatred and careless of innocent life to dominate our streets and fill our homes with fear.  We cannot sanction the appeals of violence, no matter what its cause, no matter what the grievance from which it springs,"" and	Be it further RESOLVED, That we commend and support the President's urgent plea to Congress to ""pass laws to bring the insane traffic in guns to a halt,"" while maintaining the constitutional right to the legitimate possession of arms, and national leaders to act decisively to meet the problems of which violence is a result, not only because we want to avert violence and anarchy, but because, under God, we want to do right, and	Be it further RESOLVED, That we petition the executive, legislative, and judicial leaders of our nation and the individual states to uphold the law and to take positive steps to establish a climate of respect for law, and	Be it further RESOLVED, That we commend those responsible leaders of all groups who have shown, and are showing, remarkable determination in seeking to hold violence in check while working for social justice, and that we urge all leaders of all groups to refrain from encouraging others to disobey laws with which they are not in agreement but to seek redress of their grievances through proper legal procedures, and	Be it further RESOLVED, That we call upon all citizens to support their local police and all who are in authority not by words only but by paying taxes to raise police salaries and improving police training, insisting upon responsible use of force, and creating open communication between citizens and their policemen, and	Be it further RESOLVED, That we call upon Baptist people to renew their allegiance to civil authority, respect for the rights of others, and cooperation with all agencies and institutions responsible for maintaining law and order and seeking to bring about social justice, and	Be it further RESOLVED, That we continue to strive to purge hostility and misunderstanding from our hearts, seek forgiveness for our own sins, and reaffirm our reverence and respect for the lives and rights of others, and	Be it further RESOLVED, That we call our institutions and agencies, our leaders, our people, and ourselves to a renewed dedication to Jesus Christ, and to the proclamation and practice of the Gospel of His redeeming love as the ultimate answer to the spiritual malady affecting the modern world.",1968
"WHEREAS, There is a growing disregard of Sunday as the Lord's Day, and	WHEREAS, There is under consideration in the Congress of the United States a bill to fix certain national holidays on Monday, and	WHEREAS, Such a bill, if passed, will encourage further disregard of Sunday as the Lord's Day,	Therefore, Be it RESOLVED, That we appeal for a proper and faithful Observance of Sunday as the Lord's Day by our people.	215.  Perry Ginn presented Resolution No. 8--""On Church-State Relations""--and moved its adoption.  Wendell G. Davis (N.C.) moved an amendment to include the following paragraph:  ""Be it further resolved, That we reaffirm our faith in the principle that tax funds come from all citizens and should not be used to further the advantages of any religious or sectarian causes.""  After discussion, the motion to amend passed, and then the motion to approve the resolution on church-state relations, as amended, passed.  The paragraph comprising the amendment was to be inserted immediately following the first paragraph of resolution.",1968
"WHEREAS, Peace negotiators are now engaged in efforts to terminate the cruel war in Vietnam which is taking an awesome toll in human life and property, and	WHEREAS, The universal dream of mankind is for a world of peace, brotherhood, and freedom for all peoples, and	WHEREAS, As disciples of the Prince of Peace, we as Christians have a mandate to be peacemakers, to seek the preservation of human life, to love and to pray for all people, even our enemies, and	WHEREAS, There are many ministers from the ranks of Southern Baptists serving as chaplains in Vietnam, and	WHEREAS, Young men from our families are fighting and dying in Vietnam, sides in this conflict to seek an immediate cease fire and a termination of all hostile activities and any further buildup of military power or advantage, and	Be it further RESOLVED, That we urge the nations involved to seek an honorable solution that will bring a just and durable peace that recognizes the dignity and values of human personality and the inalienable right of all men to be free, and	Be it further RESOLVED, That we pray for the peace negotiators, the delegates of the United Nations, the men of good will in all parts of the world who seek after peace and justice, our Christian brothers who are suffering for their faith around the world, for suffering humanity, and	Be it further RESOLVED, That we be messengers of hope and good news, encouraging mankind not to despair in its quest for the reign of peace and justice and righteousness, ever believing that these are the gifts God seeks to give the people of this world through His Son and our Lord Jesus Christ.",1968
